,name,text,url,follower_num
1605,American Linda P,RT @DineshDSouza: How Obama must be scowling as he sees his successor has made it acceptable—even cool—to dispense with Happy Holidays &amp; sa…,https://pbs.twimg.com/profile_images/943886876087345154/cuYRwsmm_normal.jpg,8627
1616,Left Coast Patriot,RT @thebradfordfile: Obama's holiday greeting... https://t.co/azrl9ZHKR1,https://pbs.twimg.com/profile_images/942415440566824960/B9CPg7fx_normal.jpg,8541
129,Liberty-Bella-Biker,"Obama left office waaaay richer than he went in. And he didnt give up his salary like Trump had.
 https://t.co/blEBHrwFHz",https://pbs.twimg.com/profile_images/880671882772713472/uHzmx52B_normal.jpg,8535
707,Amazing Grace,"RT @true_pundit: ICYMI - Obama Administration Will Be Formally Investigated for ‘Potentially Criminal’ Act Involving Hezbollah, Iran https:…",https://pbs.twimg.com/profile_images/912402480717168640/j_HJZ3IU_normal.jpg,8511
344,Amazing Grace,RT @KimStrassel: Cable/broadcasters ignore a Obama-scandal story that has a lot more on-the-record sources than they usually can find. A de…,https://pbs.twimg.com/profile_images/912402480717168640/j_HJZ3IU_normal.jpg,8511
246,Amazing Grace,"RT @RealJamesWoods: Some news stories report mere allegations as “fact,” but the Obama/Hezbollah treachery facts  are reported as mere “all…",https://pbs.twimg.com/profile_images/912402480717168640/j_HJZ3IU_normal.jpg,8511
1305,Deplorable Barbara,RT @erwindean96: @Dina1trump @FLOTUS @NoradSanta He's always been here. Obama is the type of person he didn't want to be around some people…,https://pbs.twimg.com/profile_images/941106929673236480/GIQcag7G_normal.jpg,8483
1513,Sister Honey🐼🐇⛈,"RT @GrizzleMeister: Merry Christmas Barack from all the passengers on the Trump Train who will patiently wait for the indictments, arrests,…",https://pbs.twimg.com/profile_images/378800000064449723/da48359bfd8ea6a9804a76cae0b1173b_normal.jpeg,8466
275,Sister Honey🐼🐇⛈,why do liberals try to re-write history? https://t.co/wpppjTMcTG,https://pbs.twimg.com/profile_images/378800000064449723/da48359bfd8ea6a9804a76cae0b1173b_normal.jpeg,8466
125,🆓GeneSmarts🆙,RT @ish10040: Obama Just Got Caught Red Handed LYING! Look What He Said! https://t.co/wvPq61yEeh via @truthfeednews,https://pbs.twimg.com/profile_images/786387116104253440/zjyX4pN5_normal.jpg,8371
1912,CovfetedKat🐉SWMPH8R,RT @thebradfordfile: Obama's holiday greeting... https://t.co/azrl9ZHKR1,https://pbs.twimg.com/profile_images/928929891646500865/Rt2wPKfz_normal.jpg,8245
196,MariClaire 🇺🇸,"RT @Imperator_Rex3: 13. Obama's divinity was spread to his liberal cult members by an adoring media. They became lazy, partisan propagandis…",https://pbs.twimg.com/profile_images/935673437971873792/DLAriSl-_normal.jpg,8235
448,Gone Galt,"RT @covfefeartist: Under Bush &amp; Obama, the rich got richer and the poor got poorer with a rigged, crony capitalism system in place. Now, in…",https://pbs.twimg.com/profile_images/937070191506210817/7uBskq-r_normal.jpg,7957
126,#Resistance News,Obama's Merry Christmas Tweet Is Much More Popular Than Trump's - Newsweek https://t.co/zaYclN6pz2,https://pbs.twimg.com/profile_images/839942758148231170/Y1nu2JSw_normal.jpg,7933
972,#ChancheliCosas,"RT @NCorrea27: @nico_grau Deja de hacer el ridiculo, Obama creció un 1,5 y Reagan un 3,5 como mago de las finanzas que se te pierden los mi…",https://pbs.twimg.com/profile_images/3505082093/92679c44b4c97c55d236d52e88ea4fde_normal.jpeg,7916
37,sleepy teen,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/624906842125176832/s3U_Pn9m_normal.jpg,7728
1661,Matthew Shahi,Merry Christmas @BarackObama https://t.co/TGsmrVg6l8,https://pbs.twimg.com/profile_images/918750899761160192/-rju7EVD_normal.jpg,7723
51,❄️Snowflake Power❄️,"RT @tonyposnanski: In the final holiday installment of PETTY AF news...

Barack Obama’s “Merry Christmas” tweet that he posted six hours ag…",https://pbs.twimg.com/profile_images/822963273381412866/Z-6iNGXv_normal.jpg,7718
1089,argillic,RT @MalcolmNance: As a guy who spent his entire career working with Muslim  Intelligence agencies &amp; Special Operations allies to kill Musli…,https://pbs.twimg.com/profile_images/620363282830901248/FmembKdd_normal.jpg,7669
2007,Dr. Roy Schestowitz (罗伊),When Obama was in charge they used these holidays as a cover to do some of the most controversial (high civilian de… https://t.co/DsSQfNHaeR,https://pbs.twimg.com/profile_images/797662861011144704/0eUGNJem_normal.jpg,7590
1209,Beau Troy Leon,"RT @BarackObama: On behalf of the Obama family, Merry Christmas! We wish you joy and peace this holiday season. https://t.co/CNFUZrhrBj",https://pbs.twimg.com/profile_images/938184160837079040/FBzOwMwk_normal.jpg,7575
1035,Bradd Powless,RT @TheNYevening: #Drunken 18-year-old #MaliaObama Thrown Out of #NYC Club for Altercation Involving #Conservative Journalists https://t.co…,https://pbs.twimg.com/profile_images/850407344148103168/rTG2Lwge_normal.jpg,7490
